accepted_species,trait_layer,trait_name,provisional_candidate_value,matched_term,candidate_class,source,source_type,source_url,raw_description,evidence_scope,wild_or_cultivated,review_status,evidence_quote,source_chunk_id,source_text_sha256,extraction_method,model_provider,model_id,prompt_version,prompt_sha256,packet_input_sha256,ontology_sha256,extraction_run_id,confidence
Amana erythronioides,M0_floral_phenotype,flower_primary_color,multicolored_variable,Flowers are white with purple veins.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Amana_erythronioides,Flowers are white with purple veins.,species_direct,unknown,unreviewed_llm_extraction,Flowers are white with purple veins.,src_57ae8b48c4c549b60356,d16c7731712dc6bc5758d5e17d3dbc94f563e0f690ddfed8b6cec591f353296c,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aglaia ijzermannii,M1_reproductive_assurance_pollen_vector,pollen_vector_mode,biotic,Pollinators. Insects.,reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Aglaia+ijzermannii,Pollinators. Insects.,species_direct,unknown,unreviewed_llm_extraction,Pollinators. Insects.,src_dd232382fcf01dbb71af,3976fd29346e1eb35db1e7ca3b3aa17c53473dd94e5295240c645e6ed26dcd98,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aster amellus,M0_floral_phenotype,flower_primary_color,multicolored_variable,"Roehrenblueten gelb, Zungenblueten blaulila.",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/8133114,"Roehrenblueten gelb, Zungenblueten blaulila.",species_direct,unknown,unreviewed_llm_extraction,"Roehrenblueten gelb, Zungenblueten blaulila.",src_9346cf968a77f1c71be9,96e962d50034eac43e68eb5ef9771a646ceb3fd6b71639162638ce2808f768af,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aster amellus,M0_floral_phenotype,floral_form,composite_head,"Bluetenkoepfe in einer lockeren Doldentraube, Durchmesser 2 - 3 cm.",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/8133114,"Bluetenkoepfe in einer lockeren Doldentraube, Durchmesser 2 - 3 cm.",species_direct,unknown,unreviewed_llm_extraction,"Bluetenkoepfe in einer lockeren Doldentraube, Durchmesser 2 - 3 cm.",src_9346cf968a77f1c71be9,96e962d50034eac43e68eb5ef9771a646ceb3fd6b71639162638ce2808f768af,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aster amellus,M0_floral_phenotype,flower_primary_color,multicolored_variable,"Roehrenblueten gelb, Zungenblueten blaulila.",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/8133114,"Roehrenblueten gelb, Zungenblueten blaulila.",species_direct,unknown,unreviewed_llm_extraction,"Roehrenblueten gelb, Zungenblueten blaulila.",src_7f89eb698a6421cf5d0f,cac1f979765de9ee97413ee6500c0a0a365a397a73de74115609cac4705cf9a3,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aster amellus,M0_floral_phenotype,floral_form,composite_head,"Bluetenkoepfe in einer lockeren Doldentraube, Durchmesser 2 - 3 cm.",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/8133114,"Bluetenkoepfe in einer lockeren Doldentraube, Durchmesser 2 - 3 cm.",species_direct,unknown,unreviewed_llm_extraction,"Bluetenkoepfe in einer lockeren Doldentraube, Durchmesser 2 - 3 cm.",src_7f89eb698a6421cf5d0f,cac1f979765de9ee97413ee6500c0a0a365a397a73de74115609cac4705cf9a3,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aster amellus,M0_floral_phenotype,flower_primary_color,blue_purple,The flowers are lilac.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Aster_amellus,The flowers are lilac.,species_direct,unknown,unreviewed_llm_extraction,The flowers are lilac.,src_7dd14a0ba4013011d53e,7ee99f5cc5bd4655a3bf209e6496386d5c270dfcb14197aefc205ecfd8d13fff,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Aster amellus,M1_reproductive_assurance_pollen_vector,autonomous_selfing_capacity,autonomous,The hermaphroditic flowers are either self-fertilized (autogamy) or pollinated by insects (entomogamy).,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Aster_amellus,The hermaphroditic flowers are either self-fertilized (autogamy) or pollinated by insects (entomogamy).,species_direct,unknown,unreviewed_llm_extraction,The hermaphroditic flowers are either self-fertilized (autogamy) or pollinated by insects (entomogamy).,src_7dd14a0ba4013011d53e,7ee99f5cc5bd4655a3bf209e6496386d5c270dfcb14197aefc205ecfd8d13fff,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,medium
Aster amellus,M1_reproductive_assurance_pollen_vector,pollen_vector_mode,biotic,pollinated by insects (entomogamy),reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Aster_amellus,pollinated by insects (entomogamy),species_direct,unknown,unreviewed_llm_extraction,pollinated by insects (entomogamy),src_7dd14a0ba4013011d53e,7ee99f5cc5bd4655a3bf209e6496386d5c270dfcb14197aefc205ecfd8d13fff,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
Astragalus frigidus,M0_floral_phenotype,flower_primary_color,white,"Blueten gelblich-weiss, ca. 1,5 cm lang.",reported,llm_evidence_extraction,gbif_species_description,https://www.gbif.org/species/5343710,"Blueten gelblich-weiss, ca. 1,5 cm lang.",species_direct,unknown,unreviewed_llm_extraction,"Blueten gelblich-weiss, ca. 1,5 cm lang.",src_c07d07254c2d657fb33c,4b99c796f8d8804fe0dbdc5a4d00a78b5a897fa7d79882443050de97d6c456db,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,2136e68faa912faf0214e1ca609c231d4a1db740446c23b7e2329ef86cb63a40,086be637480828729d6cce812854adb510e94d0c8f14976f999361a7c5a19e62,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_014d6e70bee68987493f,high
