accepted_species,trait_layer,trait_name,provisional_candidate_value,matched_term,candidate_class,source,source_type,source_url,raw_description,evidence_scope,wild_or_cultivated,review_status,evidence_quote,source_chunk_id,source_text_sha256,extraction_method,model_provider,model_id,prompt_version,prompt_sha256,packet_input_sha256,ontology_sha256,extraction_run_id,confidence
Acacia disparrima,M0_floral_phenotype,flower_primary_color,yellow_orange,The flowers are pale yellow to lemon yellow and borne in up to four spikes,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_disparrima,The flowers are pale yellow to lemon yellow and borne in up to four spikes,species_direct,unknown,unreviewed_llm_extraction,The flowers are pale yellow to lemon yellow and borne in up to four spikes,src_1fe70ba0a8d6dee181b5,a8cb5c3ad65b600c54109f6ab1bda920c155735dfb3c9c02dd1378b3fe8dd6f5,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acacia disparrima,M0_other_reported_trait,inflorescence_display,raceme_spike_panicle,The flowers are pale yellow to lemon yellow and borne in up to four spikes,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_disparrima,The flowers are pale yellow to lemon yellow and borne in up to four spikes,species_direct,unknown,unreviewed_llm_extraction,The flowers are pale yellow to lemon yellow and borne in up to four spikes,src_1fe70ba0a8d6dee181b5,a8cb5c3ad65b600c54109f6ab1bda920c155735dfb3c9c02dd1378b3fe8dd6f5,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acacia yirrkallensis,M0_floral_phenotype,flower_primary_color,yellow_orange,Its globular yellow heads,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_yirrkallensis,Its globular yellow heads,species_direct,unknown,unreviewed_llm_extraction,Its globular yellow heads,src_1f9566ee6ab6cb9c94a9,2a01bdbc9bde891f808e9c05b5ace6da25a6fd48260d8541b54ef973f5be2740,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acacia yirrkallensis,M0_floral_phenotype,floral_form,composite_head,Its globular yellow heads,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_yirrkallensis,Its globular yellow heads,species_direct,unknown,unreviewed_llm_extraction,Its globular yellow heads,src_1f9566ee6ab6cb9c94a9,2a01bdbc9bde891f808e9c05b5ace6da25a6fd48260d8541b54ef973f5be2740,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acacia yirrkallensis,M0_other_reported_trait,inflorescence_display,composite_display,Its globular yellow heads,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_yirrkallensis,Its globular yellow heads,species_direct,unknown,unreviewed_llm_extraction,Its globular yellow heads,src_1f9566ee6ab6cb9c94a9,2a01bdbc9bde891f808e9c05b5ace6da25a6fd48260d8541b54ef973f5be2740,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acmispon maritimus,M0_floral_phenotype,flower_primary_color,yellow_orange,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acmispon_maritimus,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",species_direct,unknown,unreviewed_llm_extraction,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",src_152894fa7f9bd4ed46ca,bbbca85d7cd97c8b9c4ab3e3eaf5cddba3aa1711be4d9cbb9faf17a48dd72066,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acmispon maritimus,M0_other_reported_trait,flower_size_class,small,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acmispon_maritimus,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",species_direct,unknown,unreviewed_llm_extraction,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",src_152894fa7f9bd4ed46ca,bbbca85d7cd97c8b9c4ab3e3eaf5cddba3aa1711be4d9cbb9faf17a48dd72066,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Acmispon maritimus,M0_other_reported_trait,inflorescence_display,few_flowered,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acmispon_maritimus,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",species_direct,unknown,unreviewed_llm_extraction,"The inflorescence is a small array of 1 to 4 yellow flowers, each up to a centimeter long or so",src_152894fa7f9bd4ed46ca,bbbca85d7cd97c8b9c4ab3e3eaf5cddba3aa1711be4d9cbb9faf17a48dd72066,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Actaea heracleifolia,M0_floral_phenotype,flower_primary_color,white,"The white flowers bloom in August and September, in compound racemes at the ends of the stems",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Actaea_heracleifolia,"The white flowers bloom in August and September, in compound racemes at the ends of the stems",species_direct,unknown,unreviewed_llm_extraction,"The white flowers bloom in August and September, in compound racemes at the ends of the stems",src_b88073d00e80916ee6c1,0ed42ac755ed66c68772b1d32b6872227010d63db4050b83b0b027b82614aafe,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
Actaea heracleifolia,M0_other_reported_trait,inflorescence_display,raceme_spike_panicle,"The white flowers bloom in August and September, in compound racemes at the ends of the stems",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Actaea_heracleifolia,"The white flowers bloom in August and September, in compound racemes at the ends of the stems",species_direct,unknown,unreviewed_llm_extraction,"The white flowers bloom in August and September, in compound racemes at the ends of the stems",src_b88073d00e80916ee6c1,0ed42ac755ed66c68772b1d32b6872227010d63db4050b83b0b027b82614aafe,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_c5db81ea661e531ffeee,high
