species,flower_color,flower_shape,pollination_guild,pollination_notes,mating_system,self_incompatibility,evidence_type,confidence
Smyrnium olusatrum L.,yellow-green,actinomorphic umbel flowers (Apiaceae),mixed,Umbellifer visited by diverse insects including flies and bees.,mixed_mating,unknown,flora; inference,low
Pittosporum tobira (Murray) Aiton fil.,white; cream,actinomorphic star-shaped clustered flowers,bees,Fragrant nectar-bearing flowers mainly visited by bees.,mixed_mating,unknown,horticulture; inference,low
Crithmum maritimum L.,yellow-green,actinomorphic small umbel florets,mixed,"Coastal umbellifer attracting flies, bees and beetles.",mixed_mating,unknown,flora; inference,low
Glaucium flavum Crantz,yellow,actinomorphic poppy-type with 4 petals,bees,Pollen-rich coastal poppy visited by bees and flies.,mixed_mating,likely_SC,flora; inference,low
Lagurus ovatus L.,greenish; straw-colored,reduced grass florets in panicles,wind,Grass with reduced flowers typical of wind pollination.,mainly_selfing,SC,flora; inference,low
Atriplex halimus L.,greenish,reduced apetalous flowers,wind,Halophytic chenopod with wind-pollinated flowers.,mixed_mating,unknown,flora; inference,low
Asparagus officinalis subsp. prostratus (Dumort.) Corb.,greenish-white,small bell-shaped flowers,bees,Small nectar flowers visited by bees; dioecy promotes outcrossing.,obligate_outcrossing,SI,review; inference,low
Omphalodes littoralis Lehm.,blue; pale blue; white,actinomorphic rotate Boraginaceae flower,bees,Forget-me-not–type flowers visited by bees and small flies.,mixed_mating,unknown,flora; inference,low
Mirabilis jalapa L.,magenta; yellow; white,actinomorphic funnel-shaped evening-opening flowers,moths,Evening flowers attract nocturnal moths; self-compatible.,mixed_mating,SC,horticulture; inference,medium
Sedum acre L.,yellow,actinomorphic star-shaped flower,bees,Nectar/pollen flowers visited by bees and flies; selfing possible.,mixed_mating,likely_SC,flora; inference,low
Populus alba L.,greenish,reduced unisexual catkins,wind,Dioecious tree relying on wind pollination.,obligate_outcrossing,SI,review; inference,medium
Rhamnus alaternus L.,greenish-yellow,small clustered actinomorphic flowers,mixed,Visited by bees and flies; some dioecy/polygamy encourages outcrossing.,obligate_outcrossing,likely_SI,flora; inference,low
Euphorbia paralias L.,greenish-yellow,cyathia with bracts,mixed,Coastal spurge visited by flies and bees.,mixed_mating,unknown,flora; inference,low
